,sna,tot,sbi,sarea,mday,ar,bemp,act
0,YouBike2.0_捷運科技大樓站,28,1,大安區,2023-05-27 15:19:14,復興南路二段235號前,24,1
1,YouBike2.0_復興南路二段273號前,21,0,大安區,2023-05-27 15:14:04,復興南路二段273號西側,21,1
2,YouBike2.0_國北教大實小東側門,16,1,大安區,2023-05-27 15:19:14,和平東路二段96巷7號,14,1
3,YouBike2.0_和平公園東側,11,1,大安區,2023-05-27 15:16:04,和平東路二段118巷33號,10,1
4,YouBike2.0_辛亥復興路口西北側,16,0,大安區,2023-05-27 15:17:21,復興南路二段368號,16,1
5,YouBike2.0_復興南路二段280號前,11,1,大安區,2023-05-27 14:48:14,復興南路二段280號,10,1
6,YouBike2.0_復興南路二段340巷口,11,0,大安區,2023-05-27 14:24:04,復興南路二段342號,10,1
7,YouBike2.0_新生南路三段52號前,17,1,大安區,2023-05-27 15:19:04,新生南路三段52號,15,1
8,YouBike2.0_新生南路三段66號前,16,1,大安區,2023-05-27 15:19:14,新生南路三段66號東側,15,1
9,YouBike2.0_新生南路三段82號前,20,0,大安區,2023-05-27 15:19:14,新生南路三段82號,19,1
10,YouBike2.0_辛亥路一段30號前,8,2,大安區,2023-05-27 15:10:22,辛亥路一段30號,6,1
11,YouBike2.0_和平復興路口西北側,9,1,大安區,2023-05-27 15:03:04,復興南路二段236號,7,1
13,YouBike2.0_大安運動中心停車場,14,4,大安區,2023-05-27 15:11:16,敦南街76巷28號,10,1
14,YouBike2.0_羅斯福路三段245號前,8,2,大安區,2023-05-27 15:17:31,羅斯福路三段245號,6,1
15,YouBike2.0_溫州公園,5,1,大安區,2023-05-27 15:11:16,羅斯福路三段283巷11號,4,1
16,YouBike2.0_和平臥龍街口,15,4,大安區,2023-05-27 15:19:14,臥龍街1號,11,1
17,YouBike2.0_溫州停車場,5,1,大安區,2023-05-27 15:13:15,新生南路三段54巷/溫州街口,4,1
18,YouBike2.0_銘傳國小側門,7,1,大安區,2023-05-27 15:12:04,羅斯福路四段21號旁天橋下,5,1
23,YouBike2.0_公館公園,15,0,大安區,2023-05-27 13:53:04,羅斯福路四段113巷基隆路四段41巷口,15,1
25,YouBike2.0_臺大醫學院附設癌醫中心,20,2,大安區,2023-05-27 15:19:14,基隆路三段155巷57號西側,18,1
26,YouBike2.0_臺大環研大樓,15,5,大安區,2023-05-27 15:01:16,芳蘭路/基隆路三段155巷口,10,1
28,YouBike2.0_臺大男七舍前,20,4,大安區,2023-05-27 15:13:15,長興街/長興街80巷口西側,16,1
29,YouBike2.0_臺大男一舍前,61,5,大安區,2023-05-27 15:19:14,長興街50號西北側,56,1
31,YouBike2.0_臺大動物醫院前,18,4,大安區,2023-05-27 15:19:14,基隆路三段155巷/基隆路四段口,14,1
32,YouBike2.0_臺大土木研究大樓前,24,4,大安區,2023-05-27 15:06:15,辛亥路三段188號,19,1
33,YouBike2.0_臺大萬才館前,20,3,大安區,2023-05-27 15:15:14,臺大萬才館北側,17,1
34,YouBike2.0_臺大國青大樓宿舍前,20,3,大安區,2023-05-27 15:19:14,辛亥路三段30號西北側,17,1
39,YouBike2.0_基隆長興路口東側,15,2,大安區,2023-05-27 15:16:15,基隆長興路口東側,13,1
40,YouBike2.0_國北教大側門南側,25,1,大安區,2023-05-27 15:18:14,敦南街51號,23,1
41,YouBike2.0_和平實小東北側,13,3,大安區,2023-05-27 15:08:13,敦南街73號,10,1
42,YouBike2.0_大安區健康服務中心,15,0,大安區,2023-05-27 13:07:04,辛亥路三段15號,15,1
43,YouBike2.0_辛亥泰順街口,20,2,大安區,2023-05-27 15:08:13,辛亥泰順街口東南側,16,1
46,YouBike2.0_臥龍公園,14,4,大安區,2023-05-27 14:42:14,辛亥路三段223號西側,10,1
51,YouBike2.0_法治公園,15,1,大安區,2023-05-27 15:11:04,通化街189號西側,13,1
52,YouBike2.0_捷運臺電大樓站(2號出口),15,3,大安區,2023-05-27 15:15:14,辛亥路一段/羅斯福路三段口北側(辛亥路側),12,1
54,YouBike2.0_和平龍泉街口,34,5,大安區,2023-05-27 15:17:31,和平東路一段/龍泉街口西南側,28,1
55,YouBike2.0_和平泰順街口,9,1,大安區,2023-05-27 15:16:15,和平東路一段/泰順街口東南側,8,1
58,YouBike2.0_捷運古亭站(5號出口),14,1,大安區,2023-05-27 15:19:14,和平東路一段19號前,13,1
63,YouBike2.0_捷運東門站(3號出口),15,3,大安區,2023-05-27 15:19:14,信義路二段128號前,12,1
64,YouBike2.0_金甌女中,12,2,大安區,2023-05-27 15:03:15,信義路二段與杭州南路二段東南側,9,1
67,YouBike2.0_敦化南路二段293巷口南側,14,2,大安區,2023-05-27 15:15:14,敦化南路二段293巷口南側,12,1
68,YouBike2.0_敦化基隆路口,29,3,大安區,2023-05-27 15:01:04,敦化南路二段218號,24,1
69,YouBike2.0_安和路二段181巷口,17,2,大安區,2023-05-27 15:17:31,安和路二段185號,15,1
71,YouBike2.0_臨江街夜市(基隆路),17,0,大安區,2023-05-27 14:59:04,基隆路二段108號,16,1
72,YouBike2.0_台北科技大學億光大樓,46,3,大安區,2023-05-27 15:19:14,忠孝東路三段81號,42,1
73,YouBike2.0_新生南路一段119巷口,33,3,大安區,2023-05-27 15:10:22,新生南路一段113號,27,1
75,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,YouBike2.0_捷運大安站(4號出口),13,1,大安區,2023-05-27 15:17:21,信義路4段6號(前),10,1
80,YouBike2.0_捷運大安站(2號出口),22,5,大安區,2023-05-27 15:01:16,信義路3段143號(前),17,1
81,YouBike2.0_信義大安路口(信維大樓),12,1,大安區,2023-05-27 15:19:14,信義路四段74號(前),10,1
83,YouBike2.0_仁愛安和路口,25,3,大安區,2023-05-27 15:14:14,仁愛路四段258號前,22,1
85,YouBike2.0_仁愛國中,25,4,大安區,2023-05-27 15:17:31,安和路一段75號(對面),19,1
86,YouBike2.0_捷運信義安和站(2號出口),26,3,大安區,2023-05-27 15:19:14,信義路四段188號前,22,1
87,YouBike2.0_八德市場,30,2,大安區,2023-05-27 15:06:15,市民大道三段170號,27,1
88,YouBike2.0_昌隆公園,16,0,大安區,2023-05-27 15:13:04,市民大道三段206號西側,15,1
90,YouBike2.0_信義延吉街口,15,1,大安區,2023-05-27 15:07:14,信義路四段353號,14,1
91,YouBike2.0_光信公園(光復南路456巷),15,5,大安區,2023-05-27 15:08:13,延吉街249號,9,1
92,YouBike2.0_僑安地下停車場(2號出口)東南側,20,5,大安區,2023-05-27 15:11:16,光復南路290巷5號,14,1
94,YouBike2.0_捷運忠孝新生站(6號出口),15,0,大安區,2023-05-27 14:58:04,新生南路一段101號,15,1
97,YouBike2.0_捷運忠孝新生站(3號出口),23,0,大安區,2023-05-27 15:16:04,忠孝東路三段與10巷口,23,1
98,YouBike2.0_瑠公公園,20,2,大安區,2023-05-27 15:18:14,忠孝東路四段49巷4弄/大安路口,17,1
99,YouBike2.0_敦化市民路口,23,5,大安區,2023-05-27 15:18:14,敦化南路1段158號(前),15,1
102,YouBike2.0_東豐公園,19,1,大安區,2023-05-27 15:19:04,東豐街24號(旁公園路側),17,1
103,YouBike2.0_德安公園(四維路66巷),14,3,大安區,2023-05-27 15:18:14,四維路66巷6號北側,11,1
106,YouBike2.0_捷運忠孝敦化站(7號出口),18,4,大安區,2023-05-27 15:07:14,忠孝東路四段143號,13,1
107,YouBike2.0_瑞安街208巷,15,3,大安區,2023-05-27 15:17:31,瑞安街208巷39號對面,12,1
108,YouBike2.0_樂利路21巷口,17,0,大安區,2023-05-27 14:54:04,樂利路25號,17,1
109,YouBike2.0_捷運科技大樓站(台北教育大學),46,5,大安區,2023-05-27 15:11:16,和平東路二段134號前,41,1
111,YouBike2.0_仁愛醫院,30,1,大安區,2023-05-27 15:19:04,仁愛路四段/大安路一段口(西南側),29,1
115,YouBike2.0_捷運信義安和站(1號出口),33,4,大安區,2023-05-27 15:19:14,信義路四段225號前,28,1
116,YouBike2.0_敦化南路二段103巷口,24,1,大安區,2023-05-27 15:17:21,敦化南路二段99號前,23,1
117,YouBike2.0_復興南路二段128巷口,28,2,大安區,2023-05-27 15:17:31,復興南路二段142之1號前,26,1
119,YouBike2.0_芳蘭山莊,16,2,大安區,2023-05-27 13:42:14,基隆路三段155巷148號,14,1
121,YouBike2.0_捷運東門站(5號出口),28,3,大安區,2023-05-27 15:19:14,信義路二段178號前,24,1
124,YouBike2.0_臺北科技大學(電機工程系),16,3,大安區,2023-05-27 15:12:14,忠孝東路三段100號對側,13,1
126,YouBike2.0_新生南路三段94巷口,15,0,大安區,2023-05-27 15:11:04,新生南路三段94號前,14,1
128,YouBike2.0_捷運大安站(6號出口),19,2,大安區,2023-05-27 15:16:15,復興南路一段303號前,17,1
129,YouBike2.0_臥龍街195巷口,14,5,大安區,2023-05-27 15:06:15,臥龍街/臥龍街195巷(南側),8,1
130,YouBike2.0_辛亥路三段157巷口,19,0,大安區,2023-05-27 13:46:04,辛亥路三段與辛亥路三段157巷口西北側,19,1
131,YouBike2.0_臥龍基隆路口,16,0,大安區,2023-05-27 15:03:04,臥龍街與基隆路二段口東北側,16,1
132,YouBike2.0_敦親公園,20,1,大安區,2023-05-27 14:53:16,和平東路二段96巷8之1號(前方),19,1
134,YouBike2.0_和平敦化路口,25,5,大安區,2023-05-27 15:19:14,和平東路三段 / 敦化南路二段口(東側),19,1
135,YouBike2.0_基隆長興路口,43,2,大安區,2023-05-27 14:54:16,基隆路/長興街(東南側),41,1
136,YouBike2.0_仁愛路四段122巷口,16,1,大安區,2023-05-27 15:15:14,仁愛路四段118號前,15,1
139,YouBike2.0_市民復興路口(東南側),16,5,大安區,2023-05-27 15:18:14,市民大道四段/復興路一段口(東南側),11,1
140,YouBike2.0_和平新生路口西南側,13,2,大安區,2023-05-27 15:19:14,新生南路三段2號前,11,1
142,YouBike2.0_信義路三段134巷口,19,4,大安區,2023-05-27 15:17:31,信義路三段/信義路三段134巷口,15,1
143,YouBike2.0_仁愛敦南圓環(東南側),16,3,大安區,2023-05-27 15:05:16,仁愛路四段110號前,9,1
144,YouBike2.0_臺北遠企購物中心,33,2,大安區,2023-05-27 15:17:31,敦化南路二段201號前,30,1
146,YouBike2.0_四維路170巷口,22,0,大安區,2023-05-27 14:58:04,敦化南路二段92號對側中央分隔島,22,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,4,大安區,2023-05-27 15:19:14,羅斯福路三段201號旁,26,1
149,YouBike2.0_信義路四段199巷,15,3,大安區,2023-05-27 15:15:14,信義路四段199巷/安和路一段90巷口,11,1
152,YouBike2.0_原臺北刑務所官舍,23,3,大安區,2023-05-27 15:19:14,金華街78號對側,20,1
154,YouBike2.0_懷生國中,15,3,大安區,2023-05-27 15:15:14,忠孝東路三段248巷30號,11,1
158,YouBike2.0_捷運大安站(5號出口),19,2,大安區,2023-05-27 15:17:31,復興南路二段/信義路四段(東南側),14,1
159,YouBike2.0_臨江公園,13,1,大安區,2023-05-27 15:03:04,通化街143巷33號對側,11,1
160,YouBike2.0_羅斯福路四段113巷19弄口,14,0,大安區,2023-05-27 15:05:05,羅斯福路四段119巷84號對側,13,1
161,YouBike2.0_忠孝東路四段248巷口,15,0,大安區,2023-05-27 15:19:14,忠孝東路四段230號前,13,1
163,YouBike2.0_樂利路101巷口,13,2,大安區,2023-05-27 15:16:15,樂利路97號前,11,1
164,YouBike2.0_羅斯福浦城街口,15,1,大安區,2023-05-27 14:55:23,羅斯福路三段117號前,14,1
168,YouBike2.0_民族延平路口,23,1,大同區,2023-05-27 15:18:14,延平北路三段123號北側,22,1
169,YouBike2.0_重慶酒泉街口,30,1,大同區,2023-05-27 15:14:14,重慶北路三段260號前,29,1
171,YouBike2.0_陳天來故居,18,5,大同區,2023-05-27 15:16:15,西寧北路112號前方,13,1
172,YouBike2.0_臺北孔廟,27,2,大同區,2023-05-27 15:17:31,哈密街61號口對側人行道,25,1
173,YouBike2.0_捷運圓山站(1號出口),44,1,大同區,2023-05-27 15:18:14,酒泉街235號前,40,1
175,YouBike2.0_重慶國中,37,4,大同區,2023-05-27 15:16:15,敦煌路19號前,33,1
178,YouBike2.0_民權延平路口(西北側),20,4,大同區,2023-05-27 15:18:14,民權西路239號前方,16,1
181,YouBike2.0_大龍老人住宅,14,4,大同區,2023-05-27 15:08:13,民族西路82號前方,10,1
182,YouBike2.0_大龍峒社會住宅,20,5,大同區,2023-05-27 15:15:14,承德路三段210號旁,15,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-27 15:15:04,民權西路237號旁,16,1
185,YouBike2.0_捷運民權西路站(2號出口),25,0,大同區,2023-05-27 15:03:04,捷運民權西路站(2號出口)西側,25,1
188,YouBike2.0_朝陽公園,10,2,大同區,2023-05-27 15:07:14,重慶北路二段62-1號旁,8,1
190,YouBike2.0_大龍公園,18,0,大同區,2023-05-27 15:11:04,大龍街217號對側,18,1
191,YouBike2.0_重慶涼州街口,13,4,大同區,2023-05-27 14:28:14,重慶北路二段180號旁,9,1
192,YouBike2.0_圓山線形公園,14,5,大同區,2023-05-27 15:14:14,玉門街/民族西路(西北側),9,1
193,YouBike2.0_圓環站,28,2,大同區,2023-05-27 15:19:14,重慶北路一段128號前,26,1
194,YouBike2.0_重慶民族路口,20,1,大同區,2023-05-27 15:01:04,重慶北路三段162號前,18,1
195,YouBike2.0_承德路三段8巷口,16,0,大同區,2023-05-27 15:11:04,承德路三段14號前,16,1
198,YouBike2.0_聯合醫院中興院區,27,3,大同區,2023-05-27 15:16:15,長安西路299號(對面),24,1
200,YouBike2.0_迪化休閒運動公園,15,2,大同區,2023-05-27 14:44:14,延平北路四段200號(南側),13,1
201,YouBike2.0_大同運動中心,16,3,大同區,2023-05-27 15:14:14,大龍街51號(旁),13,1
202,YouBike2.0_重慶保安街口(家樂福重慶店),20,3,大同區,2023-05-27 15:16:15,重慶北路二段171號(旁),17,1
208,YouBike2.0_承德民生西路口,11,2,大同區,2023-05-27 15:10:22,承德路二段137號前,9,1
210,YouBike2.0_臺北轉運站(華陰街),20,1,大同區,2023-05-27 15:13:15,華陰街45號(對面),19,1
213,YouBike2.0_重慶長安路口,15,1,大同區,2023-05-27 15:12:14,長安西路244號(重慶路側),14,1
214,YouBike2.0_承德昌吉街口,18,5,大同區,2023-05-27 15:17:31,承德路三段83號前,13,1
217,YouBike2.0_樹德公園_1,21,1,大同區,2023-05-27 15:19:14,大龍街/大龍街85巷(東北側),20,1
220,YouBike2.0_雙蓮國小,20,2,大同區,2023-05-27 15:17:31,民權西路102巷4弄25號對側人行道,18,1
221,YouBike2.0_寧夏涼州街口,15,2,大同區,2023-05-27 15:18:14,寧夏路141號對側,13,1
223,YouBike2.0_劍潭抽水站,17,2,士林區,2023-05-27 15:04:18,通河東街325巷/通河東街口,11,1
225,YouBike2.0_福港街停車場,22,0,士林區,2023-05-27 15:16:04,華齡街175號(旁),22,1
226,YouBike2.0_百齡國小,50,2,士林區,2023-05-27 15:16:15,前港街104號(對面),48,1
227,YouBike2.0_雨聲街165巷口,15,1,士林區,2023-05-27 13:38:03,雨聲街/雨聲街165巷(西北側),14,1
228,YouBike2.0_天和公園,13,3,士林區,2023-05-27 15:15:14,天母東路69巷30號(前方路側),7,1
231,YouBike2.0_臺北市立大學(天母校區),23,3,士林區,2023-05-27 15:16:15,士東路276號至280號對面人行道,20,1
234,YouBike2.0_天母北天玉街口,15,3,士林區,2023-05-27 15:18:14,天母北路33號(前),12,1
236,YouBike2.0_明勝公園,14,5,士林區,2023-05-27 15:07:14,承德路4段6巷71號(對面),9,1
237,YouBike2.0_劍潭海外青年活動中心,23,0,士林區,2023-05-27 14:43:04,中山北路4段/通河街口,23,1
239,YouBike2.0_雨農國小,35,4,士林區,2023-05-27 15:18:14,忠誠路一段127號(前),29,1
240,YouBike2.0_忠誠公園,14,0,士林區,2023-05-27 15:11:04,忠誠路一段18號(對面),12,1
241,YouBike2.0_芝山抽水站,21,0,士林區,2023-05-27 15:17:22,至誠路二段47-49號(前),21,1
243,YouBike2.0_華齡公園,25,1,士林區,2023-05-27 15:14:14,劍潭路76號(對面),23,1
245,YouBike2.0_華齡街185巷口,12,0,士林區,2023-05-27 15:19:04,華齡街188號(前),11,1
246,YouBike2.0_前港公園(前港街),19,2,士林區,2023-05-27 15:08:04,前港街48號(對面),17,1
249,YouBike2.0_臺灣戲曲中心,14,3,士林區,2023-05-27 15:18:14,文林路751號(南側),10,1
252,YouBike2.0_志成公園,23,0,士林區,2023-05-27 15:17:22,中正路/雨農路口(西北側),23,1
253,YouBike2.0_福林國小,14,2,士林區,2023-05-27 14:08:15,福志路50號(對面),11,1
259,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
261,YouBike2.0_捷運士林站(2號出口),30,0,士林區,2023-05-27 15:17:22,中山北路五段505巷44弄2號(對面),28,1
262,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
265,YouBike2.0_聯合醫院陽明院區,15,1,士林區,2023-05-27 15:13:15,雨聲街105號(南側),13,1
269,YouBike2.0_通河東街2段10巷口,15,5,士林區,2023-05-27 14:57:14,通河東街2段5號(對面),10,1
270,YouBike2.0_梅林新村,15,2,士林區,2023-05-27 15:11:16,至善路一段/至善路一段138巷(北側),13,1
271,YouBike2.0_延平北中正路口,30,4,士林區,2023-05-27 14:55:23,中正路613號(對面),26,1
272,YouBike2.0_重慶北路四段190巷口,13,1,士林區,2023-05-27 14:47:14,重慶北路四段198號(前),12,1
273,YouBike2.0_重慶北葫東街口,15,0,士林區,2023-05-27 15:05:05,重慶北路四段177號(前),15,1
274,YouBike2.0_葫蘆國小,20,3,士林區,2023-05-27 14:55:23,環河北路三段/葫蘆街(東北側),17,1
276,YouBike2.0_社正公園,15,2,士林區,2023-05-27 15:08:13,社中街39號(對面),13,1
279,YouBike2.0_忠誠路一段138號,15,5,士林區,2023-05-27 15:16:15,忠誠路一段138號(斜前方),9,1
280,YouBike2.0_社子公園,14,2,士林區,2023-05-27 15:10:22,永平街20巷37弄/永平街20巷11弄(社子公園南側),12,1
281,YouBike2.0_國立故宮博物院,17,1,士林區,2023-05-27 15:19:04,力行街8號(對面),15,1
282,YouBike2.0_泰北高中,16,1,士林區,2023-05-27 14:52:04,福林路240號(前),15,1
283,YouBike2.0_後港公園,15,1,士林區,2023-05-27 14:13:14,通河東街二段26號(旁公園),14,1
286,YouBike2.0_延平北路八段133巷口,15,2,士林區,2023-05-27 14:53:16,延平北路八段133巷42號(對面),13,1
289,YouBike2.0_福安國中,11,3,士林區,2023-05-27 12:35:15,延平北路七段250號(前),8,1
293,YouBike2.0_士林新天地,29,2,士林區,2023-05-27 15:16:04,大南路325號前方,27,1
294,YouBike2.0_蘭雅國小,27,4,士林區,2023-05-27 15:15:14,礦溪街與中山北路六段195巷口,22,1
295,YouBike2.0_中正基河路口,28,5,士林區,2023-05-27 15:16:15,中正路420號前,23,1
296,YouBike2.0_福林公園(中正路),27,5,士林區,2023-05-27 15:19:14,中正路/志成街口(南側),21,1
299,YouBike2.0_東山路110巷口,16,4,士林區,2023-05-27 14:42:14,東山路114號對側,12,1
302,YouBike2.0_通河街76巷/承德路四段10巷口,14,0,士林區,2023-05-27 15:14:04,承德路四段10巷37號(旁),13,1
303,YouBike2.0_芝山聖佑宮,15,3,士林區,2023-05-27 14:57:14,雨聲街90號旁,10,1
304,YouBike2.0_至誠雨聲街口,9,0,士林區,2023-05-27 15:19:14,至誠路二段與雨聲街口東北側,8,1
305,YouBike2.0_捷運線型公園(後街),13,1,士林區,2023-05-27 15:17:22,後街15號旁,12,1
306,YouBike2.0_天母公園,12,0,士林區,2023-05-27 14:07:04,中山北路七段141巷30號對側,12,1
307,YouBike2.0_基河文林路口,16,1,士林區,2023-05-27 15:15:14,基河路3-1號對側人行道,15,1
308,YouBike2.0_文林福華路口,19,2,士林區,2023-05-27 15:14:14,文林路 / 福華路口(東側),16,1
309,YouBike2.0_劍潭海外青年活動中心_1,24,1,士林區,2023-05-27 14:53:16,通河街 / 通河街2巷(南側),23,1
314,YouBike2.0_葫蘆國小(延平北路五段285巷),15,0,士林區,2023-05-27 14:33:04,環河北路三段/延平北路五段285巷,15,1
315,YouBike2.0_社子市場,15,3,士林區,2023-05-27 14:59:19,延平北路六段67號旁,12,1
318,YouBike2.0_文林路101巷口,7,5,士林區,2023-05-27 15:14:14,文林路100號前,2,1
322,YouBike2.0_中山福國路口,14,3,士林區,2023-05-27 15:14:14,中山北路五段837號前,9,1
324,YouBike2.0_承德後港街口,11,5,士林區,2023-05-27 15:05:16,承德路四段/後港街口,5,1
325,YouBike2.0_中山北路五段698巷口,15,4,士林區,2023-05-27 15:18:14,中山北路五段692號前,11,1
329,YouBike2.0_海光公園南側,12,4,士林區,2023-05-27 15:09:14,葫蘆街79號對側公園,8,1
330,YouBike2.0_士商路40巷口,15,2,士林區,2023-05-27 15:06:15,士商路40巷2號旁,13,1
333,YouBike2.0_美崙公園,13,5,士林區,2023-05-27 15:19:14,美崙街118號斜對面人行道,8,1
334,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,4,士林區,2023-05-27 15:19:14,忠誠路二段207巷/士東路299巷口,13,1
336,YouBike2.0_美崙公園(東北側),15,1,士林區,2023-05-27 13:28:04,文林路587巷115號對側,14,1
337,YouBike2.0_台北花木批發市場,32,2,文山區,2023-05-27 15:17:31,萬盛街/興隆路一段(西北側),29,1
338,YouBike2.0_捷運萬隆站(4號出口),21,0,文山區,2023-05-27 15:08:04,羅斯福路5段210號(前),21,1
339,YouBike2.0_捷運萬隆站(1號出口),34,0,文山區,2023-05-27 15:17:22,羅斯福路五段250號(前),34,1
340,YouBike2.0_萬和二號公園,26,4,文山區,2023-05-27 15:19:14,萬隆街255號(對面),22,1
341,YouBike2.0_捷運萬隆站(2號出口),12,4,文山區,2023-05-27 15:14:14,興隆路一段70巷/羅斯福路5段211巷26弄口,7,1
347,YouBike2.0_興福國中,25,2,文山區,2023-05-27 15:03:15,福興路95巷/福興路63巷4弄口,22,1
350,YouBike2.0_景美醫院,18,3,文山區,2023-05-27 15:16:15,羅斯福路六段280號(前),15,1
351,YouBike2.0_師範大學公館校區,14,3,文山區,2023-05-27 15:05:16,汀州路四段77號(旁),10,1
354,YouBike2.0_國立政治大學,35,2,文山區,2023-05-27 15:12:14,指南路二段153號(對面),33,1
355,YouBike2.0_捷運動物園站,18,0,文山區,2023-05-27 15:17:22,新光路二段30號(對面),17,1
362,YouBike2.0_考試院,22,1,文山區,2023-05-27 15:19:14,試院路(雙號)/木柵路一段(東北側),19,1
363,YouBike2.0_和興路26巷口,15,3,文山區,2023-05-27 15:19:14,和興路44巷 / 和興路26巷口,11,1
366,YouBike2.0_臺北市立景美女中,25,3,文山區,2023-05-27 15:14:14,木新路三段/一壽街(西北側),21,1
367,YouBike2.0_永安藝文館-表演36房,15,2,文山區,2023-05-27 15:17:31,木新路二段156號前人行道(永安市場),13,1
368,YouBike2.0_忠順區民活動中心,15,4,文山區,2023-05-27 14:57:14,忠順街二段22號前方人行道(忠順區民活動中心),11,1
370,YouBike2.0_老泉街籃球場,14,0,文山區,2023-05-27 14:41:04,老泉街26巷老泉街口(籃球場前),14,1
372,YouBike2.0_木柵公園,25,5,文山區,2023-05-27 15:12:14,興隆路四段50號(前),20,1
373,YouBike2.0_興隆公共住宅D2區,19,5,文山區,2023-05-27 15:19:14,興隆路四段105巷49號(旁),14,1
374,YouBike2.0_木新路3段95巷口,16,3,文山區,2023-05-27 15:07:14,木新路三段95巷30號(對面),11,1
377,YouBike2.0_指南路3段2巷,13,2,文山區,2023-05-27 15:08:14,指南路三段4號(旁),11,1
378,YouBike2.0_萊茵公園,14,2,文山區,2023-05-27 12:34:13,忠順街二段87巷25弄29號,12,1
380,YouBike2.0_秀明路一段185巷口,20,0,文山區,2023-05-27 15:03:04,秀明路一段與秀明路一段185巷口,20,1
381,YouBike2.0_秀明路一段129巷口,22,0,文山區,2023-05-27 14:56:04,秀明路一段129巷與秀明路一段路口,22,1
382,YouBike2.0_恆光橋(老泉街),13,4,文山區,2023-05-27 15:11:16,老泉街/恆光街口,9,1
383,YouBike2.0_萬有3號公園,14,3,文山區,2023-05-27 15:17:32,景隆街105號(對面),11,1
385,YouBike2.0_興得閱覽室,24,1,文山區,2023-05-27 14:47:04,興隆路三段304巷145號,20,1
386,YouBike2.0_辛亥生態公園,18,5,文山區,2023-05-27 15:11:16,辛亥路四段199號,13,1
387,YouBike2.0_博嘉運動公園,12,1,文山區,2023-05-27 14:57:14,木柵路四段159巷16號,11,1
390,YouBike2.0_政大一街口,14,0,文山區,2023-05-27 12:44:04,政大一街19號對側,13,1
391,YouBike2.0_文山第二行政中心,30,2,文山區,2023-05-27 15:17:32,興隆路二段160-1號前,28,1
392,YouBike2.0_移民署訓練中心,13,5,文山區,2023-05-27 14:55:23,興隆路三段306號,8,1
393,YouBike2.0_海巡署(南側),10,2,文山區,2023-05-27 13:52:15,興隆路三段211號對側(公車亭後),8,1
394,YouBike2.0_明道國小東南側,18,1,文山區,2023-05-27 15:11:16,興隆路四段109巷116號對側,17,1
396,YouBike2.0_實踐國中(木新路三段310巷口),17,4,文山區,2023-05-27 15:17:32,忠順街一段木新路三段310巷口,10,1
397,YouBike2.0_師範大學公館校區_1,25,4,文山區,2023-05-27 15:19:14,師大公館校區校門口(汀州路側),21,1
398,YouBike2.0_捷運動物園站(2號出口),39,5,文山區,2023-05-27 15:18:14,新光路二段28號前,33,1
399,YouBike2.0_政大水岸電梯,10,3,文山區,2023-05-27 15:05:16,政治大學水岸電梯旁,7,1
400,YouBike2.0_敦南山林,14,2,文山區,2023-05-27 15:01:16,木柵路四段159巷16弄(社區出入口對側),12,1
401,YouBike2.0_辛亥路五段73巷口,13,2,文山區,2023-05-27 14:50:22,辛亥路五段75-1號前人行道,11,1
402,YouBike2.0_景美污水抽水站,15,1,文山區,2023-05-27 15:17:32,汀州路四段10號北側人行道,14,1
404,YouBike2.0_景興國中,10,4,文山區,2023-05-27 15:10:22,三福街4巷與景興路46巷口,6,1
405,YouBike2.0_景仁公園_1,15,2,文山區,2023-05-27 15:19:14,景仁街 / 羅斯福路六段142巷口(北側),12,1
406,YouBike2.0_師大公館校區學二舍,40,2,文山區,2023-05-27 15:17:32,臺灣師範大學學二舍西側人行道,36,1
407,YouBike2.0_景行公園,15,4,文山區,2023-05-27 15:17:32,景中街與景中街30巷口,10,1
408,YouBike2.0_萬興國小,16,3,文山區,2023-05-27 15:16:15,秀明路二段114號公車亭旁,13,1
409,YouBike2.0_辛亥路四段77巷口,14,0,文山區,2023-05-27 14:19:04,辛亥路四段77巷口,14,1
410,YouBike2.0_景興路42巷口,12,0,文山區,2023-05-27 14:48:04,景興路42巷與景興路口西南側,12,1
412,YouBike2.0_木柵路二段109巷,15,0,文山區,2023-05-27 14:26:04,木柵路二段109巷14號旁,15,1
414,YouBike2.0_萬美萬安街口,16,0,文山區,2023-05-27 13:11:04,萬美街一段/萬安街口,16,1
415,YouBike2.0_興隆路二段203巷(敦南),27,3,文山區,2023-05-27 14:45:16,興隆路二段203巷16號,23,1
416,YouBike2.0_新光秀明路口,15,1,文山區,2023-05-27 15:01:16,新光路一段145號前,14,1
417,YouBike2.0_臺北自來水事業處,20,5,中正區,2023-05-27 15:19:14,思源街1號東側,15,1
419,YouBike2.0_捷運公館站(1號出口),12,4,中正區,2023-05-27 15:18:14,羅斯福路四段68號,8,1
420,YouBike2.0_捷運公館站(4號出口),12,2,中正區,2023-05-27 15:18:14,羅斯福路四段48號,10,1
